Model,MAE,MSE,RMSE,R²
polynomial_regression,379.33299164992826,2993601.8956246786,1730.2028481148327,0.8309439918645234
gradient_descent,1.3983395887618816e+18,2.0721537173019485e+36,1.4394977309124001e+18,-1.170195797250645e+29
linear_regression,1388.4590830289596,5009173.695428685,2238.118338119923,0.7171197311692983
random_forest,374.3837480559875,604323.1140947123,777.3822187924756,0.96587239824969
ridge,1384.971663716511,5050776.923788196,2247.393362050399,0.7147702952866289
lasso,1388.002830913879,5009840.862886574,2238.2673796681606,0.7170820545940151
elastic_net,1654.19060802022,7783031.66089333,2789.8085348090344,0.5604731992902175
