Model,MAE,MSE,RMSE,R²
polynomial_regression,17922.470924333746,75262541897.96758,274340.1937339251,-8735090082.721975
gradient_descent,759579378838567.6,5.7696220498025544e+29,759580282116548.5,-6.69631493743303e+28
linear_regression,1.0348039165311231,2.555497212314177,1.598592259556569,0.7034049369668243
random_forest,1.0013167938931296,2.744908190839693,1.6567764456436762,0.6814215981299654
ridge,1.0463314462750373,2.634038877575868,1.6229722356146046,0.6942892666202594
lasso,1.8348086119099787,6.298347731496868,2.5096509182547417,0.26900376434513174
elastic_net,1.8380503224877653,6.330860611098165,2.5161201503700426,0.2652302679279691
